format	persona	topic	locale	regime	chapters	projected_words	atom_floor_words	advertised_words_floor	advertised_words_cap	advertised_minutes	implied_min_listening	implied_min_reading	over_under_pct_vs_cap	duration_gap_pct_listening	duration_gap_pct_reading
micro_book_15	healthcare_rns	overthinking	en-US	midpoint	5	3836	2172	2500	4500	15	25.6	16.7	-14.8	70.5	11.2
micro_book_15	first_responders	overthinking	en-US	midpoint	6	3288	2115	2500	4500	15	21.9	14.3	-26.9	46.2	-4.7
micro_book_15	healthcare_rns	burnout	en-US	midpoint	5	3881	2050	2500	4500	15	25.9	16.9	-13.8	72.5	12.5
micro_book_15	working_parents	courage	en-US	midpoint	5	3306	1758	2500	4500	15	22.0	14.4	-26.5	46.9	-4.2
micro_book_15	corporate_managers	anxiety	en-US	midpoint	4	3524	2167	2500	4500	15	23.5	15.3	-21.7	56.6	2.1
micro_book_15	healthcare_rns	burnout	en-US	midpoint	5	3744	2114	2500	4500	15	25.0	16.3	-16.8	66.4	8.5
micro_book_15	healthcare_rns	overthinking	en-US	midpoint	6	3390	2571	2500	4500	15	22.6	14.7	-24.7	50.7	-1.7
micro_book_15	gen_z_student	compassion_fatigue	en-US	midpoint	6	3718	9951	2500	4500	15	24.8	16.2	-17.4	65.2	7.8
micro_book_15	gen_alpha_students	somatic_healing	en-US	midpoint	5	3608	1281	2500	4500	15	24.1	15.7	-19.8	60.4	4.6
micro_book_15	tech_finance_burnout	financial_anxiety	en-US	midpoint	5	3749	2074	2500	4500	15	25.0	16.3	-16.7	66.6	8.7
micro_book_15	corporate_managers	overthinking	en-US	midpoint	4	4031	1300	2500	4500	15	26.9	17.5	-10.4	79.2	16.8
micro_book_15	tech_finance_burnout	burnout	en-US	midpoint	5	3972	2060	2500	4500	15	26.5	17.3	-11.7	76.5	15.1
micro_book_15	millennial_women_professionals	boundaries	en-US	midpoint	5	3203	3401	2500	4500	15	21.4	13.9	-28.8	42.4	-7.2
micro_book_15	working_parents	burnout	en-US	midpoint	4	3958	1532	2500	4500	15	26.4	17.2	-12.0	75.9	14.7
micro_book_15	gen_alpha_students	sleep_anxiety	en-US	midpoint	5	4176	1826	2500	4500	15	27.8	18.2	-7.2	85.6	21.1
micro_book_15	tech_finance_burnout	compassion_fatigue	en-US	midpoint	5	3810	2293	2500	4500	15	25.4	16.6	-15.3	69.3	10.4
micro_book_15	gen_z_student	financial_stress	en-US	midpoint	6	4013	9103	2500	4500	15	26.8	17.4	-10.8	78.3	16.3
micro_book_15	corporate_managers	burnout	en-US	midpoint	5	3318	1648	2500	4500	15	22.1	14.4	-26.3	47.5	-3.8
micro_book_15	working_parents	social_anxiety	en-US	midpoint	4	4074	1090	2500	4500	15	27.2	17.7	-9.5	81.1	18.1
micro_book_15	corporate_managers	depression	en-US	midpoint	6	3650	2749	2500	4500	15	24.3	15.9	-18.9	62.2	5.8
micro_book_15	tech_finance_burnout	somatic_healing	en-US	midpoint	5	3705	1752	2500	4500	15	24.7	16.1	-17.7	64.7	7.4
micro_book_15	healthcare_rns	burnout	en-US	midpoint	4	3560	1717	2500	4500	15	23.7	15.5	-20.9	58.2	3.2
micro_book_15	gen_alpha_students	burnout	en-US	midpoint	5	3968	2019	2500	4500	15	26.5	17.3	-11.8	76.4	15.0
micro_book_15	gen_alpha_students	grief	en-US	midpoint	5	3262	2709	2500	4500	15	21.7	14.2	-27.5	45.0	-5.4
micro_book_15	millennial_women_professionals	anxiety	en-US	midpoint	5	3765	3567	2500	4500	15	25.1	16.4	-16.3	67.3	9.1
micro_book_15	gen_alpha_students	compassion_fatigue	en-US	midpoint	5	4071	2848	2500	4500	15	27.1	17.7	-9.5	81.0	18.0
micro_book_15	first_responders	compassion_fatigue	en-US	midpoint	5	3708	1368	2500	4500	15	24.7	16.1	-17.6	64.8	7.5
micro_book_15	midlife_women	depression	en-US	midpoint	4	3670	4924	2500	4500	15	24.5	16.0	-18.4	63.1	6.4
micro_book_15	millennial_women_professionals	overthinking	en-US	midpoint	6	3788	2992	2500	4500	15	25.3	16.5	-15.8	68.4	9.8
micro_book_15	gen_z_student	somatic_healing	en-US	midpoint	6	4219	11785	2500	4500	15	28.1	18.3	-6.2	87.5	22.3
micro_book_15	educators	anxiety	en-US	midpoint	4	3585	2015	2500	4500	15	23.9	15.6	-20.3	59.3	3.9
micro_book_15	gen_x_sandwich	overthinking	en-US	midpoint	5	3747	1755	2500	4500	15	25.0	16.3	-16.7	66.6	8.6
micro_book_15	tech_finance_burnout	overthinking	en-US	midpoint	5	3892	2279	2500	4500	15	25.9	16.9	-13.5	73.0	12.8
micro_book_15	midlife_women	courage	en-US	midpoint	5	3644	6366	2500	4500	15	24.3	15.8	-19.0	62.0	5.6
micro_book_15	entrepreneurs	compassion_fatigue	en-US	midpoint	5	3949	2653	2500	4500	15	26.3	17.2	-12.3	75.5	14.5
micro_book_15	gen_alpha_students	compassion_fatigue	en-US	midpoint	5	3424	2917	2500	4500	15	22.8	14.9	-23.9	52.2	-0.8
micro_book_15	gen_alpha_students	financial_stress	en-US	midpoint	5	3892	2805	2500	4500	15	25.9	16.9	-13.5	73.0	12.8
micro_book_15	tech_finance_burnout	burnout	en-US	midpoint	5	3860	2046	2500	4500	15	25.7	16.8	-14.2	71.5	11.9
micro_book_15	midlife_women	self_worth	en-US	midpoint	5	3834	6083	2500	4500	15	25.6	16.7	-14.8	70.4	11.1
micro_book_15	gen_alpha_students	overthinking	en-US	midpoint	4	3741	1348	2500	4500	15	24.9	16.3	-16.9	66.3	8.4
micro_book_15	working_parents	overthinking	en-US	midpoint	6	3567	2166	2500	4500	15	23.8	15.5	-20.7	58.5	3.4
micro_book_15	entrepreneurs	anxiety	en-US	midpoint	5	4103	2809	2500	4500	15	27.4	17.8	-8.8	82.3	18.9
micro_book_15	working_parents	overthinking	en-US	midpoint	4	4243	1446	2500	4500	15	28.3	18.4	-5.7	88.6	23.0
micro_book_15	midlife_women	depression	en-US	midpoint	4	4147	4867	2500	4500	15	27.6	18.0	-7.8	84.3	20.2
micro_book_15	healthcare_rns	compassion_fatigue	en-US	midpoint	5	3469	2999	2500	4500	15	23.1	15.1	-22.9	54.2	0.6
micro_book_15	gen_z_professionals	social_anxiety	en-US	midpoint	6	3877	2283	2500	4500	15	25.8	16.9	-13.8	72.3	12.4
micro_book_15	healthcare_rns	courage	en-US	midpoint	4	3470	2549	2500	4500	15	23.1	15.1	-22.9	54.2	0.6
micro_book_15	first_responders	grief	en-US	midpoint	5	3758	1454	2500	4500	15	25.1	16.3	-16.5	67.0	8.9
micro_book_15	healthcare_rns	burnout	en-US	midpoint	5	4188	2041	2500	4500	15	27.9	18.2	-6.9	86.1	21.4
micro_book_15	gen_x_sandwich	anxiety	en-US	midpoint	5	3636	3222	2500	4500	15	24.2	15.8	-19.2	61.6	5.4
micro_book_15	healthcare_rns	anxiety	en-US	midpoint	5	3881	3019	2500	4500	15	25.9	16.9	-13.8	72.5	12.5
micro_book_15	first_responders	anxiety	en-US	midpoint	6	4088	2517	2500	4500	15	27.3	17.8	-9.1	81.7	18.5
micro_book_15	first_responders	courage	en-US	midpoint	5	3420	1302	2500	4500	15	22.8	14.9	-24.0	52.0	-0.9
micro_book_15	gen_z_professionals	sleep_anxiety	en-US	midpoint	5	4341	2254	2500	4500	15	28.9	18.9	-3.5	92.9	25.8
micro_book_15	midlife_women	sleep_anxiety	en-US	midpoint	6	3493	7246	2500	4500	15	23.3	15.2	-22.4	55.2	1.2
micro_book_15	corporate_managers	people_pleasing	en-US	midpoint	5	3262	2514	2500	4500	15	21.7	14.2	-27.5	45.0	-5.5
micro_book_15	millennial_women_professionals	boundaries	en-US	midpoint	5	3894	3344	2500	4500	15	26.0	16.9	-13.5	73.1	12.9
micro_book_15	working_parents	burnout	en-US	midpoint	5	4204	1779	2500	4500	15	28.0	18.3	-6.6	86.8	21.9
micro_book_15	nyc_executives	sleep_anxiety	en-US	midpoint	5	3914	6510	2500	4500	15	26.1	17.0	-13.0	74.0	13.5
micro_book_15	nyc_executives	financial_stress	en-US	midpoint	5	3793	2738	2500	4500	15	25.3	16.5	-15.7	68.6	9.9
micro_book_15	educators	financial_stress	en-US	midpoint	5	3239	2103	2500	4500	15	21.6	14.1	-28.0	44.0	-6.1
micro_book_15	millennial_women_professionals	boundaries	en-US	midpoint	6	4083	3935	2500	4500	15	27.2	17.8	-9.3	81.5	18.4
micro_book_15	educators	financial_anxiety	en-US	midpoint	5	3328	5973	2500	4500	15	22.2	14.5	-26.0	47.9	-3.5
micro_book_15	corporate_managers	courage	en-US	midpoint	5	3950	2376	2500	4500	15	26.3	17.2	-12.2	75.6	14.5
micro_book_15	tech_finance_burnout	imposter_syndrome	en-US	midpoint	5	3752	1992	2500	4500	15	25.0	16.3	-16.6	66.8	8.8
micro_book_15	entrepreneurs	burnout	en-US	midpoint	5	3748	1747	2500	4500	15	25.0	16.3	-16.7	66.6	8.6
micro_book_15	gen_z_professionals	anxiety	en-US	midpoint	6	3877	5429	2500	4500	15	25.8	16.9	-13.8	72.3	12.4
micro_book_15	first_responders	sleep_anxiety	en-US	midpoint	4	3877	1481	2500	4500	15	25.8	16.9	-13.8	72.3	12.4
micro_book_15	gen_z_student	boundaries	en-US	midpoint	6	3862	11315	2500	4500	15	25.7	16.8	-14.2	71.7	12.0
micro_book_15	millennial_women_professionals	anxiety	en-US	midpoint	5	3896	3599	2500	4500	15	26.0	16.9	-13.4	73.2	12.9
micro_book_15	working_parents	boundaries	en-US	midpoint	5	3901	1906	2500	4500	15	26.0	17.0	-13.3	73.4	13.1
micro_book_15	healthcare_rns	overthinking	en-US	midpoint	5	3788	2158	2500	4500	15	25.3	16.5	-15.8	68.3	9.8
micro_book_15	first_responders	self_worth	en-US	midpoint	5	3951	1384	2500	4500	15	26.3	17.2	-12.2	75.6	14.5
micro_book_15	corporate_managers	compassion_fatigue	en-US	midpoint	5	3982	2482	2500	4500	15	26.5	17.3	-11.5	77.0	15.4
micro_book_15	working_parents	anchored	en-US	midpoint	5	3475	2216	2500	4500	15	23.2	15.1	-22.8	54.4	0.7
micro_book_15	corporate_managers	trauma_recovery	en-US	midpoint	4	3545	2280	2500	4500	15	23.6	15.4	-21.2	57.5	2.7
micro_book_15	working_parents	anxiety	en-US	midpoint	5	3999	1882	2500	4500	15	26.7	17.4	-11.1	77.7	15.9
micro_book_15	first_responders	overthinking	en-US	midpoint	4	3823	1417	2500	4500	15	25.5	16.6	-15.1	69.9	10.8
micro_book_15	educators	depression	en-US	midpoint	5	3450	2009	2500	4500	15	23.0	15.0	-23.3	53.3	-0.0
micro_book_15	gen_alpha_students	overthinking	en-US	midpoint	4	3701	1393	2500	4500	15	24.7	16.1	-17.7	64.5	7.3
micro_book_15	corporate_managers	burnout	en-US	midpoint	5	3568	1538	2500	4500	15	23.8	15.5	-20.7	58.6	3.4
micro_book_15	millennial_women_professionals	financial_anxiety	en-US	midpoint	5	4029	2258	2500	4500	15	26.9	17.5	-10.5	79.0	16.8
micro_book_15	corporate_managers	sleep_anxiety	en-US	midpoint	5	3624	1628	2500	4500	15	24.2	15.8	-19.5	61.1	5.0
micro_book_15	millennial_women_professionals	anxiety	en-US	midpoint	5	3560	3590	2500	4500	15	23.7	15.5	-20.9	58.2	3.2
micro_book_15	first_responders	anxiety	en-US	midpoint	5	3958	1967	2500	4500	15	26.4	17.2	-12.0	75.9	14.7
micro_book_15	first_responders	anxiety	en-US	midpoint	6	3433	2422	2500	4500	15	22.9	14.9	-23.7	52.6	-0.5
micro_book_15	first_responders	burnout	en-US	midpoint	6	4000	2043	2500	4500	15	26.7	17.4	-11.1	77.8	15.9
micro_book_15	working_parents	anxiety	en-US	midpoint	6	3497	2264	2500	4500	15	23.3	15.2	-22.3	55.4	1.4
micro_book_15	working_parents	courage	en-US	midpoint	5	3896	1779	2500	4500	15	26.0	16.9	-13.4	73.2	12.9
micro_book_15	first_responders	imposter_syndrome	en-US	midpoint	5	4067	1358	2500	4500	15	27.1	17.7	-9.6	80.8	17.9
micro_book_15	healthcare_rns	burnout	en-US	midpoint	5	4219	2005	2500	4500	15	28.1	18.3	-6.3	87.5	22.3
micro_book_15	working_parents	burnout	en-US	midpoint	6	3832	2180	2500	4500	15	25.5	16.7	-14.9	70.3	11.1
micro_book_15	healthcare_rns	overthinking	en-US	midpoint	5	3702	2114	2500	4500	15	24.7	16.1	-17.7	64.5	7.3
micro_book_15	gen_z_professionals	anxiety	en-US	midpoint	4	4027	3180	2500	4500	15	26.8	17.5	-10.5	79.0	16.7
micro_book_15	gen_z_professionals	depression	en-US	midpoint	4	3637	1758	2500	4500	15	24.2	15.8	-19.2	61.6	5.4
micro_book_15	gen_z_professionals	anxiety	en-US	midpoint	6	4061	5351	2500	4500	15	27.1	17.7	-9.8	80.5	17.7
micro_book_15	corporate_managers	anxiety	en-US	midpoint	5	3352	2683	2500	4500	15	22.3	14.6	-25.5	49.0	-2.8
micro_book_15	millennial_women_professionals	depression	en-US	midpoint	5	3916	2673	2500	4500	15	26.1	17.0	-13.0	74.0	13.5
micro_book_15	healthcare_rns	overthinking	en-US	midpoint	5	3723	2131	2500	4500	15	24.8	16.2	-17.3	65.5	7.9
micro_book_15	entrepreneurs	somatic_healing	en-US	midpoint	5	3363	1354	2500	4500	15	22.4	14.6	-25.3	49.5	-2.5
micro_book_20	healthcare_rns	overthinking	en-US	midpoint	5	4768	2109	3000	5500	20	31.8	20.7	-13.3	58.9	3.7
micro_book_20	gen_z_student	burnout	en-US	midpoint	6	4328	12146	3000	5500	20	28.9	18.8	-21.3	44.3	-5.9
micro_book_20	midlife_women	somatic_healing	en-US	midpoint	7	4395	8183	3000	5500	20	29.3	19.1	-20.1	46.5	-4.5
micro_book_20	gen_z_student	sleep_anxiety	en-US	midpoint	6	4950	12037	3000	5500	20	33.0	21.5	-10.0	65.0	7.6
micro_book_20	gen_z_professionals	compassion_fatigue	en-US	midpoint	7	4228	3279	3000	5500	20	28.2	18.4	-23.1	40.9	-8.1
micro_book_20	midlife_women	self_worth	en-US	midpoint	6	4844	7353	3000	5500	20	32.3	21.1	-11.9	61.5	5.3
micro_book_20	gen_z_student	burnout	en-US	midpoint	6	4898	12119	3000	5500	20	32.7	21.3	-10.9	63.3	6.5
micro_book_20	gen_alpha_students	anxiety	en-US	midpoint	6	5035	3751	3000	5500	20	33.6	21.9	-8.4	67.8	9.5
micro_book_20	first_responders	self_worth	en-US	midpoint	5	4607	1414	3000	5500	20	30.7	20.0	-16.2	53.6	0.2
micro_book_20	corporate_managers	overthinking	en-US	midpoint	5	3984	1626	3000	5500	20	26.6	17.3	-27.6	32.8	-13.4
micro_book_20	tech_finance_burnout	anxiety	en-US	midpoint	6	4955	3004	3000	5500	20	33.0	21.5	-9.9	65.2	7.7
micro_book_20	millennial_women_professionals	depression	en-US	midpoint	5	4672	2681	3000	5500	20	31.1	20.3	-15.1	55.7	1.6
micro_book_20	gen_z_professionals	burnout	en-US	midpoint	7	3756	2819	3000	5500	20	25.0	16.3	-31.7	25.2	-18.4
micro_book_20	gen_x_sandwich	anxiety	en-US	midpoint	6	4428	3947	3000	5500	20	29.5	19.3	-19.5	47.6	-3.7
micro_book_20	working_parents	self_worth	en-US	midpoint	6	4288	2082	3000	5500	20	28.6	18.6	-22.0	42.9	-6.8
micro_book_20	tech_finance_burnout	burnout	en-US	midpoint	6	5203	2466	3000	5500	20	34.7	22.6	-5.4	73.4	13.1
micro_book_20	tech_finance_burnout	grief	en-US	midpoint	6	4585	2534	3000	5500	20	30.6	19.9	-16.6	52.8	-0.3
micro_book_20	working_parents	somatic_healing	en-US	midpoint	6	4496	1770	3000	5500	20	30.0	19.5	-18.2	49.9	-2.3
micro_book_20	tech_finance_burnout	somatic_healing	en-US	midpoint	7	4816	2438	3000	5500	20	32.1	20.9	-12.4	60.5	4.7
micro_book_20	first_responders	burnout	en-US	midpoint	6	4284	2054	3000	5500	20	28.6	18.6	-22.1	42.8	-6.9
micro_book_20	tech_finance_burnout	courage	en-US	midpoint	7	4080	3100	3000	5500	20	27.2	17.7	-25.8	36.0	-11.3
micro_book_20	working_parents	social_anxiety	en-US	midpoint	7	4637	1971	3000	5500	20	30.9	20.2	-15.7	54.6	0.8
micro_book_20	healthcare_rns	financial_stress	en-US	midpoint	6	4863	2914	3000	5500	20	32.4	21.1	-11.6	62.1	5.7
micro_book_20	gen_z_student	burnout	en-US	midpoint	6	4245	12138	3000	5500	20	28.3	18.5	-22.8	41.5	-7.7
micro_book_20	working_parents	social_anxiety	en-US	midpoint	6	4257	1695	3000	5500	20	28.4	18.5	-22.6	41.9	-7.5
micro_book_20	millennial_women_professionals	burnout	en-US	midpoint	5	4464	2381	3000	5500	20	29.8	19.4	-18.8	48.8	-3.0
micro_book_20	tech_finance_burnout	burnout	en-US	midpoint	6	4143	2477	3000	5500	20	27.6	18.0	-24.7	38.1	-9.9
micro_book_20	educators	burnout	en-US	midpoint	5	3913	6479	3000	5500	20	26.1	17.0	-28.9	30.4	-14.9
micro_book_20	tech_finance_burnout	boundaries	en-US	midpoint	7	4337	3279	3000	5500	20	28.9	18.9	-21.1	44.6	-5.7
micro_book_20	gen_x_sandwich	overthinking	en-US	midpoint	6	5065	2121	3000	5500	20	33.8	22.0	-7.9	68.8	10.1
micro_book_20	millennial_women_professionals	financial_anxiety	en-US	midpoint	6	4420	2669	3000	5500	20	29.5	19.2	-19.6	47.3	-3.9
micro_book_20	working_parents	financial_anxiety	en-US	midpoint	7	4547	2633	3000	5500	20	30.3	19.8	-17.3	51.6	-1.2
micro_book_20	gen_z_professionals	compassion_fatigue	en-US	midpoint	5	4779	2311	3000	5500	20	31.9	20.8	-13.1	59.3	3.9
micro_book_20	corporate_managers	overthinking	en-US	midpoint	5	4527	1617	3000	5500	20	30.2	19.7	-17.7	50.9	-1.6
micro_book_20	gen_z_student	somatic_healing	en-US	midpoint	6	4078	11975	3000	5500	20	27.2	17.7	-25.9	35.9	-11.4
micro_book_20	gen_z_student	compassion_fatigue	en-US	midpoint	6	4380	9949	3000	5500	20	29.2	19.0	-20.4	46.0	-4.8
micro_book_20	working_parents	imposter_syndrome	en-US	midpoint	7	4901	2034	3000	5500	20	32.7	21.3	-10.9	63.4	6.5
micro_book_20	nyc_executives	compassion_fatigue	en-US	midpoint	7	4284	4143	3000	5500	20	28.6	18.6	-22.1	42.8	-6.9
micro_book_20	working_parents	self_worth	en-US	midpoint	5	4416	1732	3000	5500	20	29.4	19.2	-19.7	47.2	-4.0
micro_book_20	corporate_managers	people_pleasing	en-US	midpoint	5	4920	2396	3000	5500	20	32.8	21.4	-10.6	64.0	6.9
micro_book_20	healthcare_rns	overthinking	en-US	midpoint	7	4703	2990	3000	5500	20	31.4	20.4	-14.5	56.8	2.2
micro_book_20	healthcare_rns	somatic_healing	en-US	midpoint	6	4315	2032	3000	5500	20	28.8	18.8	-21.5	43.8	-6.2
micro_book_20	gen_z_professionals	somatic_healing	en-US	midpoint	6	4787	2336	3000	5500	20	31.9	20.8	-13.0	59.6	4.1
micro_book_20	entrepreneurs	sleep_anxiety	en-US	midpoint	6	4687	2124	3000	5500	20	31.2	20.4	-14.8	56.2	1.9
micro_book_20	educators	anxiety	en-US	midpoint	6	4730	3405	3000	5500	20	31.5	20.6	-14.0	57.7	2.8
micro_book_20	gen_alpha_students	overthinking	en-US	midpoint	5	4561	1740	3000	5500	20	30.4	19.8	-17.1	52.0	-0.9
micro_book_20	millennial_women_professionals	burnout	en-US	midpoint	7	4253	3387	3000	5500	20	28.4	18.5	-22.7	41.8	-7.5
micro_book_20	first_responders	boundaries	en-US	midpoint	5	4179	1641	3000	5500	20	27.9	18.2	-24.0	39.3	-9.2
micro_book_20	nyc_executives	anxiety	en-US	midpoint	7	4242	4543	3000	5500	20	28.3	18.4	-22.9	41.4	-7.8
micro_book_20	first_responders	overthinking	en-US	midpoint	6	4718	2082	3000	5500	20	31.5	20.5	-14.2	57.3	2.6
micro_book_20	nyc_executives	anxiety	en-US	midpoint	7	3898	4560	3000	5500	20	26.0	16.9	-29.1	29.9	-15.3
micro_book_20	gen_z_professionals	grief	en-US	midpoint	7	4608	3043	3000	5500	20	30.7	20.0	-16.2	53.6	0.2
micro_book_20	gen_x_sandwich	overthinking	en-US	midpoint	7	4316	2403	3000	5500	20	28.8	18.8	-21.5	43.9	-6.2
micro_book_20	first_responders	somatic_healing	en-US	midpoint	6	4394	1592	3000	5500	20	29.3	19.1	-20.1	46.5	-4.5
micro_book_20	healthcare_rns	overthinking	en-US	midpoint	5	4424	2118	3000	5500	20	29.5	19.2	-19.6	47.5	-3.8
micro_book_20	gen_alpha_students	burnout	en-US	midpoint	7	4140	2743	3000	5500	20	27.6	18.0	-24.7	38.0	-10.0
micro_book_20	gen_z_professionals	courage	en-US	midpoint	6	4178	2493	3000	5500	20	27.9	18.2	-24.0	39.3	-9.2
micro_book_20	working_parents	burnout	en-US	midpoint	6	4656	2174	3000	5500	20	31.0	20.2	-15.3	55.2	1.2
micro_book_20	first_responders	boundaries	en-US	midpoint	7	4346	2112	3000	5500	20	29.0	18.9	-21.0	44.9	-5.5
micro_book_20	corporate_managers	overthinking	en-US	midpoint	6	4691	1942	3000	5500	20	31.3	20.4	-14.7	56.4	2.0
micro_book_20	nyc_executives	financial_stress	en-US	midpoint	6	4577	3320	3000	5500	20	30.5	19.9	-16.8	52.6	-0.5
micro_book_20	nyc_executives	anxiety	en-US	midpoint	6	4383	3858	3000	5500	20	29.2	19.1	-20.3	46.1	-4.7
micro_book_20	healthcare_rns	burnout	en-US	midpoint	6	4566	2483	3000	5500	20	30.4	19.9	-17.0	52.2	-0.7
micro_book_20	millennial_women_professionals	overthinking	en-US	midpoint	6	4415	3021	3000	5500	20	29.4	19.2	-19.7	47.2	-4.0
micro_book_20	working_parents	courage	en-US	midpoint	6	4513	2166	3000	5500	20	30.1	19.6	-17.9	50.4	-1.9
micro_book_20	gen_alpha_students	depression	en-US	midpoint	6	4464	3316	3000	5500	20	29.8	19.4	-18.8	48.8	-3.0
micro_book_20	healthcare_rns	anxiety	en-US	midpoint	6	4296	3730	3000	5500	20	28.6	18.7	-21.9	43.2	-6.6
micro_book_20	gen_z_professionals	depression	en-US	midpoint	6	4223	2692	3000	5500	20	28.2	18.4	-23.2	40.8	-8.2
micro_book_20	working_parents	anchored	en-US	midpoint	6	4340	2955	3000	5500	20	28.9	18.9	-21.1	44.7	-5.7
micro_book_20	corporate_managers	self_worth	en-US	midpoint	7	4274	3071	3000	5500	20	28.5	18.6	-22.3	42.5	-7.1
micro_book_20	healthcare_rns	sleep_anxiety	en-US	midpoint	7	4353	3217	3000	5500	20	29.0	18.9	-20.9	45.1	-5.4
micro_book_20	first_responders	depression	en-US	midpoint	5	4591	1505	3000	5500	20	30.6	20.0	-16.5	53.0	-0.2
micro_book_20	healthcare_rns	financial_stress	en-US	midpoint	6	4986	2908	3000	5500	20	33.2	21.7	-9.3	66.2	8.4
micro_book_20	first_responders	self_worth	en-US	midpoint	7	4929	1954	3000	5500	20	32.9	21.4	-10.4	64.3	7.1
micro_book_20	corporate_managers	boundaries	en-US	midpoint	6	5124	3009	3000	5500	20	34.2	22.3	-6.8	70.8	11.4
micro_book_20	millennial_women_professionals	anxiety	en-US	midpoint	7	4772	4977	3000	5500	20	31.8	20.7	-13.2	59.1	3.7
micro_book_20	working_parents	self_worth	en-US	midpoint	6	4549	2048	3000	5500	20	30.3	19.8	-17.3	51.6	-1.1
micro_book_20	first_responders	courage	en-US	midpoint	6	4904	1519	3000	5500	20	32.7	21.3	-10.8	63.5	6.6
micro_book_20	gen_z_professionals	anxiety	en-US	midpoint	6	3891	4774	3000	5500	20	25.9	16.9	-29.3	29.7	-15.4
micro_book_20	corporate_managers	compassion_fatigue	en-US	midpoint	5	4267	2477	3000	5500	20	28.4	18.6	-22.4	42.2	-7.2
micro_book_20	working_parents	compassion_fatigue	en-US	midpoint	6	4136	2285	3000	5500	20	27.6	18.0	-24.8	37.9	-10.1
micro_book_20	gen_z_student	burnout	en-US	midpoint	6	4296	12171	3000	5500	20	28.6	18.7	-21.9	43.2	-6.6
micro_book_20	first_responders	burnout	en-US	midpoint	6	4724	1951	3000	5500	20	31.5	20.5	-14.1	57.5	2.7
micro_book_20	first_responders	overthinking	en-US	midpoint	6	4332	2145	3000	5500	20	28.9	18.8	-21.2	44.4	-5.8
micro_book_20	corporate_managers	depression	en-US	midpoint	5	5009	2293	3000	5500	20	33.4	21.8	-8.9	67.0	8.9
micro_book_20	working_parents	grief	en-US	midpoint	6	4242	2149	3000	5500	20	28.3	18.4	-22.9	41.4	-7.8
micro_book_20	gen_z_professionals	anxiety	en-US	midpoint	6	4388	5175	3000	5500	20	29.3	19.1	-20.2	46.3	-4.6
micro_book_20	working_parents	boundaries	en-US	midpoint	7	4356	2681	3000	5500	20	29.0	18.9	-20.8	45.2	-5.3
micro_book_20	tech_finance_burnout	overthinking	en-US	midpoint	6	4423	2675	3000	5500	20	29.5	19.2	-19.6	47.4	-3.8
micro_book_20	educators	overthinking	en-US	midpoint	6	4208	6995	3000	5500	20	28.1	18.3	-23.5	40.3	-8.5
micro_book_20	gen_alpha_students	sleep_anxiety	en-US	midpoint	6	4659	2209	3000	5500	20	31.1	20.3	-15.3	55.3	1.3
micro_book_20	gen_z_professionals	anxiety	en-US	midpoint	6	4555	4737	3000	5500	20	30.4	19.8	-17.2	51.8	-1.0
micro_book_20	healthcare_rns	overthinking	en-US	midpoint	7	4624	2965	3000	5500	20	30.8	20.1	-15.9	54.1	0.5
micro_book_20	gen_alpha_students	anxiety	en-US	midpoint	7	4916	4367	3000	5500	20	32.8	21.4	-10.6	63.9	6.9
micro_book_20	working_parents	somatic_healing	en-US	midpoint	5	4337	1417	3000	5500	20	28.9	18.9	-21.1	44.6	-5.7
micro_book_20	working_parents	burnout	en-US	midpoint	6	4651	2172	3000	5500	20	31.0	20.2	-15.4	55.0	1.1
micro_book_20	gen_x_sandwich	somatic_healing	en-US	midpoint	5	4152	1146	3000	5500	20	27.7	18.1	-24.5	38.4	-9.7
micro_book_20	entrepreneurs	social_anxiety	en-US	midpoint	6	4986	1677	3000	5500	20	33.2	21.7	-9.4	66.2	8.4
micro_book_20	educators	overthinking	en-US	midpoint	5	5214	5996	3000	5500	20	34.8	22.7	-5.2	73.8	13.4
micro_book_20	nyc_executives	somatic_healing	en-US	midpoint	6	4847	8100	3000	5500	20	32.3	21.1	-11.9	61.6	5.4
short_book_30	corporate_managers	anchored	en-US	midpoint	8	6806	3745	4500	7500	30	45.4	29.6	-9.2	51.3	-1.4
short_book_30	gen_x_sandwich	social_anxiety	en-US	midpoint	7	6274	1548	4500	7500	30	41.8	27.3	-16.3	39.4	-9.1
short_book_30	tech_finance_burnout	overthinking	en-US	midpoint	9	6282	4013	4500	7500	30	41.9	27.3	-16.2	39.6	-9.0
short_book_30	tech_finance_burnout	compassion_fatigue	en-US	midpoint	8	6200	3675	4500	7500	30	41.3	27.0	-17.3	37.8	-10.1
short_book_30	millennial_women_professionals	compassion_fatigue	en-US	midpoint	9	6749	5480	4500	7500	30	45.0	29.3	-10.0	50.0	-2.2
short_book_30	gen_z_professionals	burnout	en-US	midpoint	7	6222	2694	4500	7500	30	41.5	27.1	-17.0	38.3	-9.8
short_book_30	midlife_women	self_worth	en-US	midpoint	8	6687	9933	4500	7500	30	44.6	29.1	-10.8	48.6	-3.1
short_book_30	first_responders	grief	en-US	midpoint	7	5870	2023	4500	7500	30	39.1	25.5	-21.7	30.4	-14.9
short_book_30	entrepreneurs	overthinking	en-US	midpoint	8	6075	2777	4500	7500	30	40.5	26.4	-19.0	35.0	-12.0
